"s","birthName"
"http://dbpedia.org/resource/Aleister_Crowley","Edward Alexander Crowley"
"http://dbpedia.org/resource/E._A._Markham","Edward Archibald Markham"
"http://dbpedia.org/resource/E._E._Cummings","Edward Estlin Cummings"
"http://dbpedia.org/resource/Reed_Whittemore","Edward Reed Whittemore, Jr."
"http://dbpedia.org/resource/E._J._Pratt","Edwin John Dove Pratt"
"http://dbpedia.org/resource/Eleanor_Farjeon","Eleanor Farjeon"
"http://dbpedia.org/resource/Elinor_Wylie","Elinor Morton Hoyt"
"http://dbpedia.org/resource/Betti_Alver","Elisabet Alver"
"http://dbpedia.org/resource/Bettina_von_Arnim","Elisabeth Catharina Ludovica Magdalena Brentano"
"http://dbpedia.org/resource/Else_Lasker-Schüler","Elisabeth Schüler"
"http://dbpedia.org/resource/Elizabeth_Akers_Allen","Elizabeth Anne Chase"
"http://dbpedia.org/resource/Libby_Houston","Elizabeth Maynard Houston"
"http://dbpedia.org/resource/Hedd_Wyn","Ellis Humphrey Evans"
"http://dbpedia.org/resource/E._B._White","Elwyn Brooks White"
"http://dbpedia.org/resource/Erich_Kästner","Emil Erich Kästner"
"http://dbpedia.org/resource/Ennis_Rees","Ennis Samuel Rees, Jr."
"http://dbpedia.org/resource/Erasmus_Darwin","Erasmus Robert Darwin"
"http://dbpedia.org/resource/Ernest_Dowson","Ernest Christopher Dowson"
"http://dbpedia.org/resource/Ernesto_Cardenal","Ernesto Cardenal Martínez"
"http://dbpedia.org/resource/Yerrapragada","Erranna Yerrana"
"http://dbpedia.org/resource/Bertolt_Brecht","Eugen Berthold Friedrich Brecht"
"http://dbpedia.org/resource/Kersti_Merilaas","Eugenie Moorberg"
"http://dbpedia.org/resource/Paul_Éluard","Eugène Émile Paul Grindel"
"http://dbpedia.org/resource/Amiri_Baraka","Everett Leroy Jones"
"http://dbpedia.org/resource/Fanny_Howe","Fanny Quincy Howe"
"http://dbpedia.org/resource/Federico_García_Lorca","Federico del Sagrado Corazón de Jesús García Lorca"
"http://dbpedia.org/resource/Fernando_Pessoa","Fernando António Nogueira Pessoa"
"http://dbpedia.org/resource/Claude_McKay","Festus Claudius McKay"
"http://dbpedia.org/resource/Florbela_Espanca","Flor Bela d'Alma da Conceição"
"http://dbpedia.org/resource/Ai_(poet)","Florence Anthony"
"http://dbpedia.org/resource/Forugh_Farrokhzad","Foroghzaman Farrokhzād Arraghi"
"http://dbpedia.org/resource/Petrarch","Francesco Petracco"
"http://dbpedia.org/resource/Francis_Webb_(poet)","Francis Charles Webb-Wagg"
"http://dbpedia.org/resource/F._R._Scott","Francis Reginald Scott"
"http://dbpedia.org/resource/Władysław_Orkan","Franciszek Ksawery Smaciarz"
"http://dbpedia.org/resource/Franciszka_Arnsztajnowa","Franciszka Hanna Meyerson"
"http://dbpedia.org/resource/Franz_Werfel","Franz Viktor Werfel"
"http://dbpedia.org/resource/Voltaire","François-Marie Arouet"
"http://dbpedia.org/resource/Ogden_Nash","Frederic Ogden Nash"
"http://dbpedia.org/resource/Louis_MacNeice","Frederick Louis MacNeice"
"http://dbpedia.org/resource/Blaise_Cendrars","Frédéric-Louis Sauser"
"http://dbpedia.org/resource/Lope_de_Vega","Félix Lope de Vega y Carpio"
"http://dbpedia.org/resource/Rubén_Darío","Félix Rubén García Sarmiento"
"http://dbpedia.org/resource/Dante_Gabriel_Rossetti","Gabriel Charles Dante Rossetti"
"http://dbpedia.org/resource/Gary_Soto","Gary Anthony Soto"
"http://dbpedia.org/resource/Gavin_Ewart","Gavin Buchanan Ewart"
"http://dbpedia.org/resource/Geoffrey_Grigson","Geoffrey Edward Harvey Grigson"
