"s","birthPlace"
"http://dbpedia.org/resource/Đura_Jakšić","http://dbpedia.org/resource/Austrian_Empire"
"http://dbpedia.org/resource/Branko_Radičević","http://dbpedia.org/resource/Austrian_Empire"
"http://dbpedia.org/resource/Ivan_Cankar","http://dbpedia.org/resource/Austrian_Empire"
"http://dbpedia.org/resource/Jan_Neruda","http://dbpedia.org/resource/Austrian_Empire"
"http://dbpedia.org/resource/Arthur_Schnitzler","http://dbpedia.org/resource/Austrian_Empire"
"http://dbpedia.org/resource/János_Arany","http://dbpedia.org/resource/Austrian_Empire"
"http://dbpedia.org/resource/Laza_Kostić","http://dbpedia.org/resource/Austrian_Empire"
"http://dbpedia.org/resource/Mihály_Tompa","http://dbpedia.org/resource/Austrian_Empire"
"http://dbpedia.org/resource/Milica_Stojadinović-Srpkinja","http://dbpedia.org/resource/Austrian_Empire"
"http://dbpedia.org/resource/Stefan_Stefanović","http://dbpedia.org/resource/Austrian_Empire"
"http://dbpedia.org/resource/Stanisław_Wyspiański","http://dbpedia.org/resource/Austrian_Poland"
"http://dbpedia.org/resource/Leopold_Staff","http://dbpedia.org/resource/Austrian_partition"
"http://dbpedia.org/resource/Maria_Luise_Thurmair","http://dbpedia.org/resource/Austro-Hungarian_Empire"
"http://dbpedia.org/resource/Robert_Burns","http://dbpedia.org/resource/Ayrshire"
"http://dbpedia.org/resource/Mark_Alexander_Boyd","http://dbpedia.org/resource/Ayrshire"
"http://dbpedia.org/resource/Harivansh_Rai_Bachchan","http://dbpedia.org/resource/Babupatti"
"http://dbpedia.org/resource/Nguyễn_Du","http://dbpedia.org/resource/Bac_Ninh"
"http://dbpedia.org/resource/Vasile_Alecsandri","http://dbpedia.org/resource/Bacău"
"http://dbpedia.org/resource/George_Bacovia","http://dbpedia.org/resource/Bacău"
"http://dbpedia.org/resource/William_Barnes","http://dbpedia.org/resource/Bagber"
"http://dbpedia.org/resource/Vladimir_Mayakovsky","http://dbpedia.org/resource/Baghdati"
"http://dbpedia.org/resource/Ignazio_Buttitta","http://dbpedia.org/resource/Bagheria"
"http://dbpedia.org/resource/Samina_Raja","http://dbpedia.org/resource/Bahawalpur"
"http://dbpedia.org/resource/Alfred_Corn","http://dbpedia.org/resource/Bainbridge,_Georgia"
"http://dbpedia.org/resource/Kálmán_Tóth_(poet)","http://dbpedia.org/resource/Baja,_Hungary"
"http://dbpedia.org/resource/Sherley_Anne_Williams","http://dbpedia.org/resource/Bakersfield"
"http://dbpedia.org/resource/Rumi","http://dbpedia.org/resource/Balkh"
"http://dbpedia.org/resource/Oliver_Goldsmith","http://dbpedia.org/resource/Ballymahon"
"http://dbpedia.org/resource/William_Allingham","http://dbpedia.org/resource/Ballyshannon"
"http://dbpedia.org/resource/Ruth_Krauss","http://dbpedia.org/resource/Baltimore"
"http://dbpedia.org/resource/Frank_O'Hara","http://dbpedia.org/resource/Baltimore"
"http://dbpedia.org/resource/Peter_Lamborn_Wilson","http://dbpedia.org/resource/Baltimore,_Maryland"
"http://dbpedia.org/resource/Adrienne_Rich","http://dbpedia.org/resource/Baltimore,_Maryland"
"http://dbpedia.org/resource/Marijane_Minaberri","http://dbpedia.org/resource/Banca,_Pyrénées-Atlantiques"
"http://dbpedia.org/resource/Tulsidas","http://dbpedia.org/resource/Banda_District,_India"
"http://dbpedia.org/resource/Jibanananda_Das","http://dbpedia.org/resource/Bangladesh"
"http://dbpedia.org/resource/Michael_Madhusudan_Dutt","http://dbpedia.org/resource/Bangladesh"
"http://dbpedia.org/resource/Emily_Taylor","http://dbpedia.org/resource/Banham,_Norfolk"
"http://dbpedia.org/resource/Nikola_Vaptsarov","http://dbpedia.org/resource/Bansko"
"http://dbpedia.org/resource/Kamau_Brathwaite","http://dbpedia.org/resource/Barbados"
"http://dbpedia.org/resource/Felipe_Alfau","http://dbpedia.org/resource/Barcelona"
"http://dbpedia.org/resource/Joan_Brossa","http://dbpedia.org/resource/Barcelona"
"http://dbpedia.org/resource/Radoslav_Rochallyi","http://dbpedia.org/resource/Bardejov"
"http://dbpedia.org/resource/Radovan_Brenkus","http://dbpedia.org/resource/Bardejov"
"http://dbpedia.org/resource/Micere_Githae_Mugo","http://dbpedia.org/resource/Baricho"
"http://dbpedia.org/resource/Jibanananda_Das","http://dbpedia.org/resource/Barisal"
"http://dbpedia.org/resource/John_Gay","http://dbpedia.org/resource/Barnstaple"
"http://dbpedia.org/resource/John_Davidson_(poet)","http://dbpedia.org/resource/Barrhead"
"http://dbpedia.org/resource/Thomas_Warton","http://dbpedia.org/resource/Basingstoke"
"http://dbpedia.org/resource/Aimé_Césaire","http://dbpedia.org/resource/Basse-Pointe"
"http://dbpedia.org/resource/Alice_May_Douglas","http://dbpedia.org/resource/Bath,_Maine"
"http://dbpedia.org/resource/Kelly_Cherry","http://dbpedia.org/resource/Baton_Rouge,_Louisiana"
